"","minlatedeparted","scheddeplocal"
"382",-4,"24/05/2018 13:00"
"383",35,"24/05/2018 9:35"
"384",44,"24/05/2018 5:40"
"385",-9,"24/05/2018 9:00"
"386",11,"24/05/2018 13:15"
"387",75,"24/05/2018 15:15"
"388",-11,"24/05/2018 18:10"
"389",9,"24/05/2018 12:40"
"390",33,"24/05/2018 10:15"
"391",-4,"23/04/2019 6:25"
"392",93,"23/04/2019 11:05"
"393",17,"23/04/2019 13:05"
"394",23,"23/04/2019 9:35"
"395",-6,"23/04/2019 5:35"
"396",94,"23/04/2019 13:15"
"397",-3,"23/04/2019 9:00"
"398",6,"23/04/2019 5:50"
"399",14,"23/04/2019 4:30"
"400",-1,"23/04/2019 15:00"
"401",-11,"23/04/2019 17:50"
"402",8,"23/04/2019 5:10"
"403",9,"23/04/2019 16:40"
"404",-7,"23/04/2019 17:10"
"405",99,"23/04/2019 17:20"
"406",-10,"23/04/2019 21:45"
"407",16,"23/04/2019 22:30"
"408",-10,"23/04/2019 19:55"
"409",10,"23/04/2019 12:30"
"410",13,"23/04/2019 9:35"
"411",55,"18/08/2018 6:20"
"412",119,"18/08/2018 5:50"
"413",216,"18/08/2018 11:05"
"414",186,"18/08/2018 13:00"
"415",128,"18/08/2018 9:35"
"416",22,"18/08/2018 5:40"
"417",75,"18/08/2018 9:00"
"418",131,"18/08/2018 15:15"
"419",124,"18/08/2018 18:10"
"420",26,"18/08/2018 12:40"
"421",48,"18/08/2018 10:15"
"422",11,"09/06/2018 6:20"
"423",10,"09/06/2018 5:40"
"424",-1,"09/06/2018 9:00"
"425",-1,"09/06/2018 13:15"
"426",1,"09/06/2018 15:15"
"427",-5,"09/06/2018 18:10"
"428",-1,"09/06/2018 12:40"
"429",27,"09/06/2018 10:15"
"430",5,"24/12/2018 9:15"
"431",42,"24/12/2018 6:00"
"432",8,"24/12/2018 10:50"
"433",-2,"24/12/2018 13:00"
"434",-9,"24/12/2018 9:35"
"435",6,"24/12/2018 5:40"
"436",-2,"24/12/2018 6:30"
"437",-5,"24/12/2018 13:15"
"438",-11,"24/12/2018 8:20"
"439",-5,"24/12/2018 14:45"
"440",-2,"24/12/2018 5:35"
"441",14,"24/12/2018 4:55"
"442",51,"24/12/2018 14:55"
"443",-4,"24/12/2018 12:30"
"444",-8,"24/12/2018 11:00"
"445",10,"24/12/2018 4:55"
"446",7,"05/07/2018 6:20"
"447",2,"05/07/2018 5:50"
"448",-9,"05/07/2018 11:05"
"449",-5,"05/07/2018 13:00"
"450",7,"05/07/2018 9:35"
"451",-3,"05/07/2018 5:40"
"452",-10,"05/07/2018 9:00"
"453",16,"05/07/2018 13:15"
"454",-2,"05/07/2018 15:15"
"455",-27,"05/07/2018 18:10"
"456",-19,"05/07/2018 12:40"
"457",-15,"05/07/2018 10:15"
"458",-1,"04/08/2018 6:20"
"459",-4,"04/08/2018 5:50"
"460",-6,"04/08/2018 11:05"
"461",-20,"04/08/2018 13:00"
"462",29,"04/08/2018 9:35"
"463",33,"04/08/2018 5:40"
"464",-10,"04/08/2018 9:00"
"465",47,"04/08/2018 13:15"
"466",-12,"04/08/2018 15:15"
"467",58,"04/08/2018 18:10"
