"","minlatedeparted","scheddeplocal"
"233",-17,"04/08/2018 7:00"
"234",-12,"04/08/2018 15:35"
"235",-14,"04/08/2018 22:15"
"236",124,"04/08/2018 17:25"
"237",-14,"04/08/2018 15:40"
"238",-2,"04/08/2018 9:40"
"239",-19,"04/08/2018 3:50"
"240",43,"04/08/2018 21:10"
"241",-14,"04/08/2018 5:45"
"242",129,"04/08/2018 18:00"
"243",-2,"04/08/2018 23:05"
"244",64,"04/08/2018 20:00"
"245",2,"04/08/2018 22:05"
"246",-18,"04/08/2018 14:10"
"247",34,"04/08/2018 16:15"
"248",-20,"04/08/2018 8:35"
"249",59,"04/08/2018 12:40"
"250",5,"04/08/2018 7:15"
"251",12,"04/08/2018 7:10"
"252",15,"04/08/2018 17:50"
"253",-18,"04/08/2018 8:35"
"254",-11,"04/08/2018 6:35"
"255",3,"15/01/2019 7:40"
"256",-2,"15/01/2019 8:30"
"257",0,"15/01/2019 23:00"
"258",17,"15/01/2019 16:35"
"259",-2,"15/01/2019 23:10"
"260",36,"15/01/2019 10:55"
"261",-5,"15/01/2019 14:40"
"262",35,"15/01/2019 9:50"
"263",5,"15/01/2019 18:35"
"264",-4,"15/01/2019 18:20"
"265",18,"15/01/2019 23:25"
"266",-11,"15/01/2019 3:55"
"267",29,"15/01/2019 13:55"
"268",30,"15/01/2019 20:55"
"269",-4,"15/01/2019 6:50"
"270",-3,"15/01/2019 11:40"
"271",-5,"15/01/2019 15:50"
"272",-8,"15/01/2019 18:00"
"273",-9,"15/01/2019 7:20"
"274",-7,"15/01/2019 13:30"
"275",15,"15/01/2019 11:20"
"276",10,"15/01/2019 17:40"
"277",-5,"15/01/2019 5:50"
"278",-5,"15/01/2019 13:45"
"279",9,"15/01/2019 7:30"
"280",-9,"15/01/2019 5:45"
"281",-9,"15/01/2019 15:55"
"282",17,"15/01/2019 20:40"
"283",65,"15/01/2019 21:45"
"284",-2,"15/01/2019 8:00"
"285",11,"15/01/2019 16:50"
"286",13,"15/01/2019 9:55"
"287",-18,"15/01/2019 20:00"
"288",0,"15/01/2019 6:00"
"289",5,"15/01/2019 17:25"
"290",-4,"15/01/2019 18:05"
"291",17,"15/01/2019 19:30"
"292",27,"15/01/2019 21:40"
"293",10,"15/01/2019 10:40"
"294",14,"15/01/2019 15:50"
"295",4,"15/01/2019 9:10"
"296",44,"15/01/2019 12:55"
"297",0,"15/01/2019 0:05"
"298",8,"15/01/2019 7:10"
"299",11,"15/01/2019 16:50"
"300",13,"15/01/2019 17:15"
"301",-5,"15/01/2019 10:45"
"302",22,"15/01/2019 6:40"
"303",-8,"01/05/2018 7:50"
"304",3,"01/05/2018 14:50"
"305",13,"01/05/2018 23:15"
"306",-5,"01/05/2018 23:05"
"307",-8,"01/05/2018 12:25"
"308",12,"01/05/2018 18:55"
"309",2,"01/05/2018 18:25"
"310",10,"01/05/2018 23:25"
"311",-26,"01/05/2018 4:05"
"312",-13,"01/05/2018 14:15"
"313",-28,"01/05/2018 17:55"
"314",-8,"01/05/2018 20:40"
"315",-1,"01/05/2018 6:40"
"316",-16,"01/05/2018 4:20"
"317",-7,"01/05/2018 11:50"
"318",-15,"01/05/2018 16:15"
"319",-20,"01/05/2018 17:30"
"320",7,"01/05/2018 7:20"
"321",11,"01/05/2018 13:40"
"322",-2,"01/05/2018 11:10"
"323",4,"01/05/2018 17:45"
"324",-26,"01/05/2018 9:50"
"325",23,"01/05/2018 5:55"
"326",-13,"01/05/2018 13:50"
"327",23,"01/05/2018 6:55"
"328",-6,"01/05/2018 10:55"
"329",-16,"01/05/2018 8:55"
"330",6,"01/05/2018 7:00"
"331",-4,"01/05/2018 15:35"
"332",-4,"01/05/2018 20:25"
"333",19,"01/05/2018 22:15"
"334",8,"01/05/2018 17:25"
"335",0,"01/05/2018 15:40"
"336",25,"01/05/2018 9:40"
"337",-12,"01/05/2018 3:50"
"338",-13,"01/05/2018 21:10"
"339",0,"01/05/2018 5:45"
"340",98,"01/05/2018 18:00"
"341",-9,"01/05/2018 20:00"
"342",128,"01/05/2018 22:05"
"343",76,"01/05/2018 14:10"
"344",-13,"01/05/2018 16:15"
"345",7,"01/05/2018 8:35"
"346",9,"01/05/2018 12:40"
"347",0,"01/05/2018 5:40"
"348",0,"01/05/2018 7:15"
"349",-9,"01/05/2018 7:10"
"350",20,"01/05/2018 8:35"
"351",5,"01/05/2018 17:00"
"352",-12,"01/05/2018 6:35"
"353",30,"21/10/2018 7:50"
"354",10,"21/10/2018 14:50"
"355",15,"21/10/2018 23:05"
"356",7,"21/10/2018 12:25"
"357",14,"21/10/2018 18:55"
"358",10,"21/10/2018 8:00"
"359",155,"21/10/2018 18:35"
"360",13,"21/10/2018 4:05"
"361",125,"21/10/2018 14:15"
"362",140,"21/10/2018 17:55"
"363",65,"21/10/2018 20:40"
"364",8,"21/10/2018 6:40"
"365",-2,"21/10/2018 4:20"
"366",-18,"21/10/2018 11:50"
"367",35,"21/10/2018 16:15"
"368",8,"21/10/2018 17:30"
"369",8,"21/10/2018 7:20"
"370",2,"21/10/2018 13:40"
"371",-5,"21/10/2018 11:10"
"372",176,"21/10/2018 17:45"
"373",-8,"21/10/2018 5:55"
"374",38,"21/10/2018 13:50"
"375",4,"21/10/2018 6:55"
"376",-16,"21/10/2018 10:55"
"377",-26,"21/10/2018 8:55"
"378",7,"21/10/2018 9:10"
"379",-5,"21/10/2018 7:00"
"380",-21,"21/10/2018 15:35"
"381",40,"21/10/2018 20:25"
"382",129,"21/10/2018 17:25"
"383",-13,"21/10/2018 9:50"
"384",-2,"21/10/2018 15:40"
"385",52,"21/10/2018 9:40"
"386",-17,"21/10/2018 3:50"
"387",138,"21/10/2018 21:10"
"388",-14,"21/10/2018 5:45"
"389",202,"21/10/2018 18:00"
"390",125,"21/10/2018 20:00"
"391",73,"21/10/2018 14:10"
"392",-5,"21/10/2018 8:35"
"393",17,"21/10/2018 12:40"
"394",11,"21/10/2018 7:15"
"395",53,"21/10/2018 7:10"
"396",6,"21/10/2018 16:15"
"397",44,"21/10/2018 17:00"
"398",4,"21/10/2018 6:35"
"399",20,"16/12/2018 7:20"
"400",69,"16/12/2018 8:30"
"401",15,"16/12/2018 23:00"
"402",3,"16/12/2018 23:10"
"403",-9,"16/12/2018 14:40"
"404",7,"16/12/2018 18:35"
"405",3,"16/12/2018 18:20"
"406",-15,"16/12/2018 3:55"
"407",183,"16/12/2018 13:55"
"408",57,"16/12/2018 20:55"
"409",-3,"16/12/2018 6:50"
"410",11,"16/12/2018 11:40"
"411",-17,"16/12/2018 15:50"
"412",42,"16/12/2018 18:00"
"413",9,"16/12/2018 7:20"
"414",19,"16/12/2018 13:30"
"415",25,"16/12/2018 11:20"
"416",182,"16/12/2018 17:40"
"417",34,"16/12/2018 9:50"
"418",15,"16/12/2018 5:50"
"419",30,"16/12/2018 13:45"
"420",7,"16/12/2018 7:30"
"421",15,"16/12/2018 16:25"
"422",-9,"16/12/2018 5:45"
"423",-15,"16/12/2018 15:55"
"424",13,"16/12/2018 20:40"
"425",75,"16/12/2018 21:45"
"426",45,"16/12/2018 8:00"
"427",79,"16/12/2018 16:50"
"428",2,"16/12/2018 9:55"
"429",185,"16/12/2018 20:00"
"430",7,"16/12/2018 6:00"
"431",35,"16/12/2018 17:25"
"432",142,"16/12/2018 18:05"
"433",51,"16/12/2018 19:30"
"434",41,"16/12/2018 10:40"
"435",-5,"16/12/2018 15:50"
"436",-22,"16/12/2018 9:10"
"437",-10,"16/12/2018 12:55"
"438",-4,"16/12/2018 0:05"
"439",10,"16/12/2018 7:10"
"440",11,"16/12/2018 17:15"
"441",3,"16/12/2018 16:50"
"442",8,"16/12/2018 6:40"
"443",0,"16/12/2018 8:25"
"444",5,"16/04/2019 7:45"
"445",-5,"16/04/2019 14:50"
"446",13,"16/04/2019 16:15"
"447",7,"16/04/2019 23:00"
"448",-2,"16/04/2019 8:55"
"449",45,"16/04/2019 10:40"
"450",-6,"16/04/2019 14:10"
"451",-3,"16/04/2019 12:35"
"452",9,"16/04/2019 18:50"
"453",1,"16/04/2019 18:10"
"454",-9,"16/04/2019 23:25"
"455",-17,"16/04/2019 4:05"
"456",79,"16/04/2019 14:00"
"457",91,"16/04/2019 20:45"
"458",1,"16/04/2019 0:15"
"459",-1,"16/04/2019 6:35"
"460",-7,"16/04/2019 4:20"
"461",30,"16/04/2019 16:00"
"462",39,"16/04/2019 17:30"
"463",-6,"16/04/2019 7:20"
"464",-9,"16/04/2019 13:40"
"465",40,"16/04/2019 11:10"
"466",32,"16/04/2019 11:50"
"467",116,"16/04/2019 17:45"
"468",-6,"16/04/2019 9:50"
"469",-20,"16/04/2019 5:35"
"470",-9,"16/04/2019 13:50"
"471",-10,"16/04/2019 6:55"
"472",0,"16/04/2019 7:00"
"473",27,"16/04/2019 15:30"
"474",62,"16/04/2019 20:25"
"475",18,"16/04/2019 22:15"
"476",-9,"16/04/2019 3:00"
"477",22,"16/04/2019 8:00"
"478",-15,"16/04/2019 16:35"
"479",10,"16/04/2019 9:40"
"480",0,"16/04/2019 19:50"
"481",-13,"16/04/2019 17:25"
"482",-18,"16/04/2019 3:25"
"483",4,"16/04/2019 21:15"
"484",-11,"16/04/2019 5:45"
"485",8,"16/04/2019 18:00"
"486",59,"16/04/2019 20:00"
"487",62,"16/04/2019 22:05"
"488",1,"16/04/2019 10:55"
"489",12,"16/04/2019 15:05"
"490",-3,"16/04/2019 8:35"
"491",18,"16/04/2019 12:25"
"492",9,"16/04/2019 0:05"
"493",0,"16/04/2019 7:10"
"494",-11,"16/04/2019 17:35"
"495",-3,"16/04/2019 8:35"
"496",15,"16/04/2019 6:30"
"497",0,"16/04/2019 8:30"
"498",-10,"28/08/2018 7:50"
"499",-5,"28/08/2018 14:50"
"500",-17,"28/08/2018 23:15"
"501",-6,"28/08/2018 23:05"
"502",-12,"28/08/2018 18:55"
"503",13,"28/08/2018 8:00"
"504",-13,"28/08/2018 18:25"
"505",-7,"28/08/2018 23:25"
"506",-13,"28/08/2018 4:05"
"507",-10,"28/08/2018 14:15"
"508",-33,"28/08/2018 17:55"
"509",-25,"28/08/2018 6:40"
"510",-21,"28/08/2018 4:20"
"511",-1,"28/08/2018 11:50"
"512",5,"28/08/2018 16:15"
"513",10,"28/08/2018 17:30"
"514",-7,"28/08/2018 7:20"
"515",-8,"28/08/2018 13:40"
"516",4,"28/08/2018 11:10"
"517",22,"28/08/2018 17:45"
"518",-8,"28/08/2018 9:50"
"519",-14,"28/08/2018 5:55"
"520",-18,"28/08/2018 13:50"
"521",3,"28/08/2018 10:55"
"522",-16,"28/08/2018 8:55"
"523",-16,"28/08/2018 7:00"
"524",-17,"28/08/2018 15:35"
"525",-30,"28/08/2018 22:15"
"526",27,"28/08/2018 17:25"
"527",-15,"28/08/2018 15:40"
"528",-12,"28/08/2018 9:40"
"529",-20,"28/08/2018 3:50"
"530",13,"28/08/2018 21:10"
"531",-3,"28/08/2018 5:45"
"532",75,"28/08/2018 18:00"
"533",22,"28/08/2018 20:00"
"534",-7,"28/08/2018 22:05"
"535",-2,"28/08/2018 14:10"
"536",-10,"28/08/2018 16:15"
"537",15,"28/08/2018 8:35"
"538",-6,"28/08/2018 12:40"
"539",15,"28/08/2018 7:15"
"540",-12,"28/08/2018 7:10"
"541",-9,"28/08/2018 17:35"
"542",24,"28/08/2018 8:35"
"543",19,"28/08/2018 6:35"
"544",-13,"21/09/2018 7:50"
"545",38,"21/09/2018 14:50"
"546",-6,"21/09/2018 23:05"
"547",-12,"21/09/2018 12:25"
"548",6,"21/09/2018 18:55"
"549",14,"21/09/2018 18:35"
"550",-5,"21/09/2018 23:25"
"551",-11,"21/09/2018 4:05"
"552",23,"21/09/2018 14:15"
"553",119,"21/09/2018 17:55"
"554",21,"21/09/2018 20:40"
"555",-16,"21/09/2018 6:40"
"556",-14,"21/09/2018 4:20"
"557",-20,"21/09/2018 11:50"
"558",-14,"21/09/2018 16:15"
"559",69,"21/09/2018 17:30"
"560",-8,"21/09/2018 7:20"
"561",24,"21/09/2018 13:40"
"562",-8,"21/09/2018 11:10"
"563",-2,"21/09/2018 17:45"
"564",-13,"21/09/2018 5:55"
"565",26,"21/09/2018 13:50"
"566",-15,"21/09/2018 6:55"
"567",-15,"21/09/2018 10:55"
"568",-6,"21/09/2018 8:55"
"569",-13,"21/09/2018 9:10"
"570",-10,"21/09/2018 7:00"
"571",0,"21/09/2018 15:35"
"572",33,"21/09/2018 20:25"
"573",22,"21/09/2018 22:15"
"574",-18,"21/09/2018 9:50"
"575",-9,"21/09/2018 15:40"
"576",-5,"21/09/2018 9:40"
"577",0,"21/09/2018 5:10"
"578",15,"21/09/2018 21:10"
"579",-5,"21/09/2018 5:45"
"580",73,"21/09/2018 18:00"
"581",6,"21/09/2018 20:00"
"582",71,"21/09/2018 22:05"
"583",40,"21/09/2018 14:10"
"584",-12,"21/09/2018 16:15"
"585",-20,"21/09/2018 8:35"
"586",10,"21/09/2018 12:40"
"587",-12,"21/09/2018 8:20"
"588",3,"21/09/2018 7:10"
"589",9,"21/09/2018 17:00"
"590",-4,"21/09/2018 6:35"
"591",-6,"08/06/2018 7:50"
"592",51,"08/06/2018 14:50"
"593",25,"08/06/2018 23:15"
"594",20,"08/06/2018 23:05"
"595",0,"08/06/2018 12:25"
"596",-6,"08/06/2018 18:55"
"597",23,"08/06/2018 8:00"
"598",-9,"08/06/2018 18:35"
"599",65,"08/06/2018 23:25"
"600",-15,"08/06/2018 4:05"
"601",15,"08/06/2018 14:15"
"602",113,"08/06/2018 17:55"
"603",53,"08/06/2018 20:40"
"604",35,"08/06/2018 6:40"
"605",0,"08/06/2018 4:20"
"606",20,"08/06/2018 11:50"
"607",30,"08/06/2018 16:15"
"608",148,"08/06/2018 17:30"
"609",25,"08/06/2018 7:20"
"610",42,"08/06/2018 13:40"
"611",-2,"08/06/2018 11:10"
"612",19,"08/06/2018 17:45"
"613",19,"08/06/2018 9:50"
"614",5,"08/06/2018 5:55"
"615",50,"08/06/2018 13:50"
"616",-12,"08/06/2018 6:55"
"617",-3,"08/06/2018 10:55"
"618",-20,"08/06/2018 8:55"
"619",-6,"08/06/2018 9:10"
"620",5,"08/06/2018 7:00"
"621",0,"08/06/2018 15:35"
"622",-5,"08/06/2018 20:25"
"623",175,"08/06/2018 22:15"
"624",3,"08/06/2018 15:40"
"625",43,"08/06/2018 9:40"
"626",-20,"08/06/2018 3:50"
"627",77,"08/06/2018 21:10"
"628",30,"08/06/2018 5:45"
"629",127,"08/06/2018 18:00"
"630",61,"08/06/2018 20:00"
"631",199,"08/06/2018 22:05"
"632",20,"08/06/2018 14:10"
"633",78,"08/06/2018 16:15"
"634",7,"08/06/2018 8:35"
"635",15,"08/06/2018 12:40"
"636",24,"08/06/2018 6:35"
"637",34,"08/06/2018 7:15"
"638",10,"08/06/2018 7:10"
"639",19,"08/06/2018 17:00"
"640",0,"08/06/2018 6:35"
"641",15,"03/11/2018 7:20"
"642",-9,"03/11/2018 8:30"
"643",-2,"03/11/2018 23:00"
"644",-5,"03/11/2018 16:35"
"645",21,"03/11/2018 10:55"
"646",4,"03/11/2018 14:40"
"647",-9,"03/11/2018 18:35"
"648",-3,"03/11/2018 8:45"
"649",2,"03/11/2018 18:20"
"650",-23,"03/11/2018 3:55"
"651",-11,"03/11/2018 13:55"
"652",113,"03/11/2018 20:55"
"653",-14,"03/11/2018 6:50"
"654",-1,"03/11/2018 11:40"
"655",-11,"03/11/2018 15:50"
"656",-8,"03/11/2018 18:00"
"657",9,"03/11/2018 7:20"
"658",0,"03/11/2018 13:30"
